,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113
1799999,2501.9091704625644,2626.932303221967,2685.6364284186816,2309.411845332508,2692.044922757328,2571.472529137047,2734.9829461044415,2391.202584190023,2401.6490170123957,2613.4975021867926,2577.4101718203324,2601.614840619358,2539.4804666729383,2405.2603061279647,3197.136610996859,2553.1758360463778,2797.442528386494,2505.3830444864084,2819.3223148507846,2332.469900882515,2336.489949503541,2268.3369122975982,2305.712819216619,2236.9665042542733,2320.586919999836,2351.742674554797,2321.023040711016,2274.360866159728,2834.1708296813104,2553.7251371758293,2665.4212450746763,2422.88603984181,2262.501324612891,2605.022688309912,2512.917832059553,2371.3965564046784,2404.4514797276033,2351.5277496827835,2329.0333779469297,2332.3251826974606,2262.8982587002542,2242.7969209158473,2305.2862903885625,2503.7239822809424,2902.8518031632807,2379.762984020826,2387.030289141864,2366.4386137746756,2368.425606373751,2484.7005547533176,2318.3374589028704,2837.2118413568433,2320.798169895842,2286.3816569272917,2541.9445086497612,2833.8684226124365,2593.3068522465996,2272.6377297667905,2735.227389740206,2520.08228690678,2798.4893206335046,2379.7939743793536,2254.0665963704096,2811.6010271762616,2600.1133840973453,2341.794138397186,2320.26632556052,2830.5139310208865,2255.769888559107,2514.099088947885,2365.271119030305,3118.243937576797,2665.0377539158353,2304.3108927011817,2344.090465378255,2288.041648995717,2421.5878777687267,2335.583212016785,2735.46901292224,2556.1865802546718,2318.0152798140894,2482.204195042148,2424.7618859590452,2692.2263708411647,2598.279772976009,2371.382248237263,2364.32877050193,2338.6326430603435,2723.7748049868032,2395.0488600701324,2276.086340771137,3017.4560542483896,2658.5164332563813,2399.28951817297,2368.861306304913,2237.3535391074533,2668.7152483034924,2327.6772492095342,2837.3206252926198,2582.4357497232554,2622.825032484757,2323.184333685297,3044.719042794396,2928.1955329410703,2346.7960692939578,2343.308461707955,2607.604226232759,2307.567584027877,2331.155854787912,2550.1353483123303,2478.2982540076046,2412.2673413915822,2286.2446382256144
1800039,2612.1190686651335,2223.2495909014765,2273.890137215238,2442.0886356709243,2259.958554954126,2625.6996985210467,2462.9151776867257,2369.7374755605338,2317.4601330137025,2193.434670027165,2300.1340297171423,2348.4532689539997,2303.934439028265,2360.289173886934,3015.5883007484244,2344.3343131127635,2644.104194846103,2239.781940188335,2582.548540089129,2243.483999668053,2307.6855822326406,3010.271092188938,2803.998086601604,2631.722872178575,2563.311543934052,2612.3313710725915,2790.036970281547,2570.6586885204797,2468.915028444012,2300.8221360044718,2308.8124494610865,2298.1450683296803,2684.9729631130253,2665.1897464252825,2342.2707246898553,2303.5335151284216,2440.0087824934376,2621.602649464662,2596.316936965053,2645.4689033888767,2248.682345320337,2647.3640296470526,2587.966523703942,2314.3587189953078,2687.5846475138856,2846.0182953356575,2322.838265050507,2313.0880826448506,3184.3102036988025,3047.5925041283112,2354.4977316501936,2518.027913987953,2629.415560279015,2462.791778606745,2636.3202477396485,2607.017264218755,2313.1973161046317,2639.2687021332313,2232.8560680232185,2726.830794649462,2388.2418495521742,2332.2731214002524,2350.9779767602236,2393.1975872913877,2666.0210452332562,2365.5532797785504,2358.4510714553953,2560.332611695697,2591.523215327132,2507.5738563367217,2598.7834980079265,2785.9896970012073,2525.875211005789,2405.1539247602605,2374.453314731926,2343.227193551681,2409.524848836439,2344.1513513037507,2320.57320888144,2459.1693062466675,2275.964622615509,2402.3721126653154,2278.9287233936993,2385.7653913710333,2287.7239729817124,2537.1745757293356,2603.8647396504134,2691.784737285464,2337.394042668335,2723.240575462043,2618.8413016780496,2668.349083043858,2567.135623867804,2407.973674537857,2477.8889832234854,2306.468623691765,2671.9918257527406,2339.156058870485,2524.0885167192682,2662.4983943742136,2302.958456592893,2347.8210848276435,2874.505180302567,2397.771373246952,2720.2221907554263,2428.2278727154503,2355.5658538187004,2590.855657583983,2409.7003250328007,2435.7168007683713,2380.9712679161403,2308.8448903928556,2533.583203888114
1800079,2390.1548518749396,2644.2545618981085,2257.173132569618,2554.482595378327,2613.169372182169,2357.2240949367347,2371.8269075216713,2818.7400960560826,2499.6761013098208,2512.124597075916,2380.938944480404,2413.602521526898,2801.632606754975,2556.147736537626,2370.3791573286635,2313.344788684647,2306.6593250934934,2287.364834117115,2376.7631281691943,2424.177245520944,2451.1415043319894,2865.5839700763286,2393.9334553295294,2279.1859435067117,2279.6231113647978,2378.6677211543883,2307.1593818488477,2434.4683878731653,3210.243400434168,2527.613244293878,2315.7532618494192,2361.5934898428345,2537.4895887577486,2260.1759714706272,2271.9496195246675,2527.618674711525,2908.690676058539,2272.991815528461,2297.5590018081134,2510.766919332097,2571.849028795352,2342.1360402768078,2327.6853903073297,2376.2198425796514,2340.722697134159,2344.3534887199107,2819.4257073429644,2703.868138318271,2703.1989346326,2515.5153763779476,2548.385013596257,2676.600924755631,2297.2913883612787,2279.2763810444458,2328.5748489906023,2343.2171427378835,2306.7598273554177,2406.4578508508985,2344.949284032806,2288.0907492880892,2730.0848092673077,2320.2634938287665,2665.5852466568263,2362.886778088633,2359.789734303885,2248.237850627686,2491.6395654775856,2272.6385462007906,2305.702585484278,2471.4480345042775,2713.1321350003423,2664.5161647211353,3275.4784884130577,2592.0565437204436,2592.5673275218096,2288.7783038131474,2307.921124926332,2464.7841828974597,2319.6028723937084,2404.2497883048277,2327.438787554076,2520.9093150620524,2529.0299174971774,2572.856833293494,2334.9656192310194,2295.2455778192925,2562.9914933099935,2318.8794522855605,2259.9477303482317,2287.7022827997625,2311.9449257229253,2317.845540937309,2319.8422706864244,2885.809427536478,2723.2264261974706,2847.8018902370063,2271.0545506366025,2730.391766344498,2271.092423932226,2338.868368572773,2933.956670832437,3276.447926102295,2362.3488615862525,2321.73691586958,2745.4576454433422,2646.9846477554083,2297.2904522105723,2273.2976850250393,2993.8780776529297,2445.329770737385,2297.5653547280635,2706.7709996099566,2344.48094382085
1800119,2330.654722528412,2315.778723182459,2425.477779309722,2319.2706951634864,2535.6713249538175,2608.6175449976504,2412.6461289788585,2553.7452896293785,2534.5103115790844,2500.9583875953385,2733.5696125930235,2378.239903749904,2317.71713112184,2599.5248959323785,2491.220438213468,2491.5779677516884,2307.23497883164,2580.800236789398,2537.2903935330864,2443.7028072056523,2301.262008641706,2499.6886954424067,2611.4941721373025,2530.2087257197686,2325.652918459489,2297.640388159059,2305.0575933670857,2365.893015903617,2571.1833196997095,2318.230841969218,2661.6243227309374,2785.382752714519,2352.252843080162,2571.7135879813163,2660.2388029683643,2581.4803430415404,2283.3534892474318,2301.424695460958,2321.6557121377614,2327.1399239549783,2256.257782453948,2692.7198160056455,2434.3962110504453,2634.009098942121,2791.1687822740414,2343.618726214897,2848.1152890111457,2614.9064832798467,2315.3553276110683,2338.2788165933807,2301.5843483300237,2451.1505660981616,2294.1361353349325,2239.0476887249447,2536.2291121712756,2281.8351190978115,3039.468643554879,2478.6127912881157,2578.2430152308116,2315.68224905833,2753.5667859645064,2684.954461392663,2419.6551704704034,2342.292587210965,2347.764614123127,2916.4663835716383,2423.2811609371834,2393.1320296447598,2654.780428626192,2291.2233327160916,2276.2072627782345,2904.359848270997,2716.5526244556604,2370.7345907391464,2533.032697457455,2557.681100119274,2698.1781593831593,2485.145793608306,2681.3950559454506,2372.856862691898,2511.718970477806,2584.5568445573795,2726.999955215706,2807.2648448606856,2618.2324052704944,2263.8580364639624,2285.634568342333,2309.757661234803,2535.2769183411187,2513.8766243811106,2658.8162892964915,2322.4775985378647,2455.737846818733,2423.6027125113137,2388.858433179505,2977.5139711083953,2357.175652599693,2304.506712803007,2636.2641813472414,2516.8115251244367,2379.5629518022292,2725.95256998675,2316.702917987323,2363.9926720380868,2268.2895670102166,2559.7522706418076,2489.707973168962,2479.0286426859734,2990.762401677069,2319.5538770717785,2324.645104579629,2442.616005301185,2456.4134338525582
1800159,2484.3394229973037,3170.0702142738105,2823.586257778063,2755.2945753650442,2300.527852342867,2506.70848774615,2700.4834190070255,2265.3242287185913,2270.6706838098326,2369.344668805164,2527.7828798969094,2430.5129622950467,2345.1117858875023,2333.275451516422,2646.65226834418,2291.949634658357,2490.2334775964773,2373.2742692716447,2474.724818426169,2303.1923358780987,2438.595004535621,2304.9532994315646,2380.7819007269077,2631.0633407069854,2287.200611665378,2452.1046870104788,2498.229075480233,2270.651316501257,2361.1367659190073,2476.6140541383584,2330.88516451195,2369.114181809343,2477.3265917783688,2326.9417038301217,2354.1868875976224,2322.114304832381,2325.2737498023107,2286.6154554199393,2603.1581471749532,2859.7210049176,2537.0238146950906,2849.8171068728907,3048.861637719722,2550.1474015489703,2470.3341128735115,2772.204455251194,2421.935703354715,2242.176267831241,2257.742483178287,2585.989598087156,2715.155500905598,2692.311057123973,2519.248661457774,2337.086730345917,2712.3562142261917,2602.038301388696,2367.0108363866193,2248.39785205501,2598.4144879669693,2687.442820931413,2317.343148508524,2340.8764446984987,2728.3509696070205,2506.807086854284,2717.773758110416,2223.8494965045747,2257.452181968506,2934.168513635534,2499.0764998640057,3060.892990205474,2294.183185397624,2645.3302417762698,2318.2716257680913,2308.5841686410504,2246.9565748729287,2287.3627643255554,2273.462045233328,2286.25564488923,2308.767909706512,2287.99831671312,2338.7927446175427,2221.8123305916433,2327.7732972265258,2420.256255749646,2252.340560377974,2651.175070527743,2583.8655026628367,2468.5330533557767,2303.4628114474635,2371.869645986452,2621.7149414143087,2478.6545875265297,2661.314518065394,2298.8267122104185,2709.560603782838,2338.5626131289378,2635.026753607564,2303.236428703612,2646.376213023178,2749.7403042361752,2379.059029230262,2455.492524220818,2715.539379035342,2394.257377384261,2623.774749703631,2329.0397297939708,2550.9019999993184,2437.0605201506023,2329.8046362569085,2357.1534009743377,2836.587505112178,2282.618014280805,2391.05735488849
1800199,2524.027542091628,2445.6417364291974,2322.1186593341845,2513.8454963533613,2263.098597396612,2429.2212467844306,2407.586800920474,2681.0615911992345,2579.6829814550797,2400.827695386706,2341.436232068224,2602.7634156204745,2690.5493960672447,2376.4072212190067,2323.442279147309,2664.127234261957,2641.3732958234327,2303.717366616201,2218.022037928526,2916.442986016876,2616.5057263309814,2418.0159895968263,2293.1091840360073,2287.6828239944884,2596.8206057191405,2573.526444210586,2287.6301366921875,2840.873708110853,2788.353100918238,2390.605653115407,2321.6880071788305,2892.436628664747,2718.0230778565165,2468.953873595762,2472.204220635683,2413.2058330234613,2500.546866708535,2561.1674566931474,2644.7241178908507,2309.3122359181757,2472.5885958218046,2742.637357389694,2513.0674200671965,2260.5724187067262,2292.8643976930825,2327.477392923095,2722.661833729028,2387.06018358602,2547.8966647754387,2288.692872020627,2298.94057549797,2289.943621612271,2473.8918435593614,2569.4433018913915,2347.657152809932,2647.6399087364803,2352.755870920709,2679.7443107574622,2325.7280846817116,2249.434014566379,2640.4131561899067,2954.2662131349325,3132.25598918833,2509.2024044305895,2323.505691499511,2354.3397897843647,2495.9912639939603,2990.5177903306253,2524.992330540923,2842.9350022047615,2615.4085637166168,2312.6932461324054,2626.5744526718076,2357.375702396535,2273.3010641151454,2565.2584230030893,2324.3062880625052,2526.2671383249317,2483.117507690767,2448.7984250454833,2421.449641951365,2297.9147858103915,2387.7442853894595,2484.2162922444295,2310.4524962222927,2233.1369367018433,2536.742775611038,2539.920401938128,2369.771736083932,2772.8835799536005,2517.8218364874065,2239.657378561331,2354.123630081189,2278.3021591532697,2444.1281032610354,2357.392420442776,2340.5205255346123,3051.3659956820543,2293.255171510076,2338.201673810417,2595.9210404806945,2350.268939923135,2253.260093043034,2597.766494760553,2472.7480864195913,2343.586965906784,2267.964197975241,2808.596751125851,2669.432662453061,2776.649653201031,2407.497514040432,2296.1423805785316,2387.1473553503256
1800239,2318.118314777991,2455.7420648365055,2303.2404855729174,2310.4332189881875,2653.5499181317537,2417.429096136729,2386.333740793232,2371.9176295550037,2429.896762719308,2973.657675291817,2534.826134703848,2300.5428304173224,2422.8339420407374,2918.803940557052,2371.0667113546947,2332.8504909946782,2255.658136781817,2900.083717419547,2388.124436681759,2626.708289187169,2317.9676437308863,2448.8304281429682,2322.5330111542967,2327.600196376284,2443.694362561883,2303.7432133981097,2340.262531891492,2698.4487930693986,2291.7563890645415,2320.0341015246995,2517.708877312993,2517.028034708294,2293.976707914032,2328.73380769989,3124.4141387441578,2412.7621919174103,2568.0297058041597,2241.330463228472,2377.4425622187705,2270.6243196854402,2273.875254105723,2591.6166338807066,2430.7223296970033,2429.9460372221924,2475.243958530955,2307.5697931479244,2517.40980339874,2340.708317468573,2637.396305281849,2347.7656344597785,2320.760424862771,2354.028927492337,2293.520962233884,2374.5349702333733,2360.9099057305607,2374.7771868090504,2804.8331121097895,2384.2173072256137,2384.835737454439,2285.355823936599,2638.254294552635,2556.758462829253,2382.578870751412,2326.147664276864,2439.586444411299,2706.606424121189,2493.257717106233,3058.871591142397,2611.65233073079,2340.0680407998007,2276.120958411116,2440.7288192697456,2377.6037932748945,2823.8290578292113,2535.3686642042953,2270.23520361297,2330.705789313644,2472.995009860415,2281.8561625899774,2436.9521594650305,2574.133856385492,2272.3674135868205,2416.48978208252,3100.1517556390445,2653.2742947565116,2312.8570773216034,2253.0748928085814,2317.6696405924936,2574.3349045867253,2232.961008349107,2352.0482698606957,2262.6571974980798,2397.4350620476703,2506.242484330436,2327.6625319642962,2680.241444359219,2364.3004190259644,2439.5772963133627,2325.847516767246,2390.0832072027088,2389.542243775426,2604.126305133025,2295.151687135766,2504.67340724434,2325.7434809287665,2661.960678144059,2424.788999697014,2504.7871404603643,2418.3909585131155,2854.5247151340072,2548.66939307083,2863.0928957529286,2415.2759876257364
1800279,2301.3487737858995,2582.9974496908667,2567.89764434222,2318.0176217752673,3048.585775410095,2328.505474057789,2329.2434055373647,2729.7751985612917,2746.8578050020797,2331.8014173809083,2835.930313094153,2316.062412576804,2284.484513924183,2344.5990635887215,2565.5112377633923,2697.6468025603126,2274.3557301184246,2341.3908985230237,2450.7276690552794,2332.554315107987,2272.149764511012,2333.079452263711,2321.2430985303627,2407.6774330914227,2291.0843972995513,2508.164012363995,2599.3259722785015,2403.2785855676716,2675.7205300966302,2411.4572365076256,2567.339972774393,2234.155664763041,2329.0469291893787,2508.2477225863704,2742.914082580309,2315.476001564053,2332.027840009536,2399.999463751677,2383.2860648045666,2598.7459147970094,2645.3526558974663,2422.834287542452,2852.8927006825934,2818.0021308671967,2721.2746916653623,2279.5987558643023,2298.0622664621774,2463.095278433642,2297.375498953446,2761.7538970929377,2536.4297760339764,2403.9595007309745,2336.3083621535948,2568.377193111857,2554.9251516359413,2423.5663475638444,2459.764772163962,3163.401096778724,3118.3471857252625,2692.2131335868416,2348.147531674767,2364.2923842834125,2370.339827346711,2242.488504457579,2414.937833155969,2881.629506124951,2301.3203655206003,2738.087805583604,2624.473269834815,2264.456142848231,2272.9901642213927,2728.5617834153386,2278.672454614306,2320.626211818658,2487.1854672593627,2437.5118804765693,2630.0445105073272,2314.475087001868,2405.3776159491936,2258.7929520356206,2370.815561699571,2569.617745724538,2731.1274954533737,2623.637950411886,3248.6005751638536,2443.9798881280462,2319.1247163974485,2409.4834847433954,2484.0004429363808,2263.27729556426,2461.9868088658422,2289.1844570849194,3196.3016649463325,2443.8619396014738,2311.1020736789515,2292.742702093499,2423.3055367356237,2459.550280547655,2529.1224300163576,2782.424144270817,2321.459010628551,2540.367952637983,2476.182370792504,2235.234772436396,2500.3686145716993,2304.8127114978147,2701.544690263529,2299.4354193992076,2336.461393488664,2402.0259277695845,2501.8513186743908,2534.6028557116592,2378.2571828278524
1800319,2546.230219582334,2827.792731047504,2466.573016040951,2716.7322794587058,2402.8711273014665,2433.08524114871,2517.96387973516,2304.6794186729535,2326.94965278984,2314.118289474664,2339.718092213442,2558.2228018203696,2294.3072533990653,2296.5414620063334,2512.665457366683,2832.4159796518097,2431.171256889462,2348.5349581398054,2331.1101167684183,2254.807077606229,2415.530935279631,2664.636276257611,2516.313569200155,2963.5473426923595,2592.261986046267,3182.121169808746,2512.522485054414,2361.133705308275,2242.467070800734,2610.4673070828107,2399.627287892507,2488.058430075929,2571.5653309674412,2359.5760481429725,2365.046392933116,2479.039534436023,2325.5854712201444,2585.9622320658173,3151.5449812555325,2428.9779917199758,2444.0267208392947,2605.746889396154,2326.615073902271,2408.2054856034397,2385.305351259521,2724.2829912999414,2606.6391200401567,2583.1103847497743,2742.476661715262,2359.549067969724,2298.8305498818786,2298.01795889264,2757.804353315348,2712.3702986047088,2525.9958765127326,3014.2511019219687,2586.8105358109624,2394.160001467472,2404.4714110121486,2332.549452957947,2317.0545245053404,2452.123362916403,2779.5937291394885,2657.359181513788,2542.5064714427,3311.728203387694,2679.3882915136032,2411.4993632894034,2268.7441377549826,2704.942136448685,2559.541865237625,2598.792379126131,2504.801152704451,2491.7402888710867,2279.350095333577,2579.8962460125786,3011.088991508737,2343.561208949832,2257.7119577138114,2325.312013961252,2361.1014973974134,2807.7565793587733,2477.800066858914,2243.546805202771,2383.2769076742325,2847.492467888934,2577.015258956674,3093.65120071303,2653.675840307432,2319.446989690153,2496.9687271687885,2447.411280835999,3017.415051613466,2315.936002901126,2785.4406271335915,2297.244418043187,2749.731773797096,3013.6056449606263,2582.6071125978215,2309.913300986803,2321.351480649167,2231.107525552065,2341.7641396063723,2340.498588284129,2895.5832318222488,2344.2865250632003,2389.9818465136173,2697.2458170305686,2327.271205149939,2327.6718980249843,2246.034033196583,2662.1192147758566,3006.9940662885942
1800359,2339.9013942719043,2398.4262269716514,2350.0510384017716,2362.7706499895603,3156.7757852431714,2330.0586406739058,2630.232833693527,2624.2295684650826,2260.9512340274573,2695.24954825814,2339.6604893651543,2446.853886540347,2756.243557715969,2290.206975010739,2390.2581433888977,3295.540498660747,2312.4642371812915,2810.241331003292,2364.1059043302707,2593.654464148997,2365.600029676179,2454.240235278934,2208.301536445619,2348.287384915227,2489.7891665709108,2400.316786728651,2303.042230715744,2524.7028972148814,2655.1646173756258,2468.2793501018973,2990.3763598387836,2599.7765103567976,2632.689349287149,2319.0847672470804,2536.8910088212997,2635.430729135644,2665.3217797794964,2347.308272753809,2423.4732504588574,2373.800204946281,2317.3482852734173,2314.643609948154,2335.544855961923,2424.250248783166,2342.7454779670556,2315.4454511856284,2334.0664269782296,2733.398206764662,2413.254416111219,2487.977495968688,2280.018576439852,2268.86844699881,2385.8976494872495,2401.202700445065,2513.706372566402,2395.210590864907,2271.549002738846,2392.7083269718237,2292.6835480430673,2473.5405756065757,2838.264675155573,2562.1024681943195,2287.7620238063823,2450.4187899610583,2250.637268862963,2252.4423214243816,3199.480208486034,2323.232604169731,2260.034205382767,2272.2581119099755,2428.884207703585,2312.4034922310752,2457.350015294359,2516.009250107277,2339.6730038155188,2289.548020527262,2492.3915525667408,2937.7083489444285,2255.9725769765214,2594.1819313141896,2397.056711920408,2372.017455572238,2359.8966178929013,2331.4699142994605,2804.1610818947274,2333.396270773749,2445.9672759694063,2427.720463787408,2445.718791533023,2661.843708360193,2210.787397677864,2570.2371977371945,2367.698278131455,2240.0264748716736,2438.559198299381,2547.4713741469805,2325.6858273418543,2600.8311549767473,2519.2625811073012,2286.5205046023157,2717.4548998752275,2673.0536216743194,2390.889896230706,3225.811799563138,2529.8982010323443,2638.8974636473845,2334.934568452733,2333.7075700641903,2621.2728233028706,2474.2147195650477,2498.6028649948435,3096.1136425331074,2345.205011841399
